phase	revision	gate_action	cleanup_signals	source_window	model_input	model_output	segment_result	final_outcome	reject_reasons	gate_reasons	strict_placeholders
stream	2	refine	numeric_normalization	将全球四大洋的水汽源源不断地送入中国，如同一条条天河。大地之上，	将全球四大洋的水汽源源不断地送入中国，如同一条条天河。大地之上，	将全球四大洋的水汽源源不断地送入中国，如同一条条天河。大地之上。	将全球四大洋的水汽源源不断地送入中国，如同一条条天河。大地之上。	accepted		cleanup_signal_present	false
stream	3	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最。	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最。	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上最大的河流。	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最。	rejected	segment_1:unsupported_insertion,segment_1:semantic_content_loss	cleanup_signal_present	false
stream	3	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最。	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最。	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上最大的河流。	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最。	rejected	segment_1:unsupported_insertion,segment_1:semantic_content_loss	cleanup_signal_present	true
stream	4	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多的<KEY>[天河之水]	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多、	rejected	segment_1:semantic_substitution	cleanup_signal_present	false
stream	4	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多的<KEY>[天河之水]	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多、	rejected	segment_1:semantic_substitution	cleanup_signal_present	true
stream	5	refine	numeric_normalization	滋养生灵，哺育出灿烂的华夏文明。但今天我们要讲述的是另一个版本的故事。	滋养生灵，哺育出灿烂的华夏文明。但今天我们要讲述的是另一个版本的故事。	滋养生灵，哺育出灿烂的华夏文明。但今天我们要讲述的是另一个版本的故事。	滋养生灵，哺育出灿烂的华夏文明。但今天我们要讲述的是另一个版本的故事。	accepted		cleanup_signal_present	false
stream	6	refine	numeric_normalization	在这个故事里，仅有文献记载的水灾和旱灾就多达两千多次，让中国成为了世界上水旱灾害最多的国家之一。	在这个故事里，仅有文献记载的水灾和旱灾就多达两千多次，让中国成为了世界上水旱灾害最多的国家之一。	在这个故事里，仅有文献记载的水灾和旱灾就多达2000多次，让中国成为了世界上水旱灾害最多的国家之一。	在这个故事里，仅有文献记载的水灾和旱灾就多达2000多次，让中国成为了世界上水旱灾害最多的国家之一。	accepted		cleanup_signal_present	false
stream	10	refine	numeric_normalization	长度最长、流域最广的江河——长江讲起。它的年径流量占到了全国江河总径流量的百分之三十六，	长度最长、流域最广的江河——长江讲起。它的年径流量占到了全国江河总径流量的百分之三十六，	长度最长、流域最广的江河——长江讲起。它的年径流量占到了全国江河总径流量的36%，	长度最长、流域最广的江河——长江讲起。它的年径流量占到了全国江河总径流量的36%，	accepted		cleanup_signal_present	false
stream	11	refine	numeric_normalization	相当于十七条黄河。汛期时，最大径流量更是平时的三倍之多。	相当于十七条黄河。汛期时，最大径流量更是平时的三倍之多。	相当于17条黄河。汛期时，最大径流量更是平时的3倍之多。	相当于17条黄河。汛期时，最大径流量更是平时的3倍之多。	accepted		cleanup_signal_present	false
stream	12	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是。	45.22米，或许大多数人对这个数字并没有什么感知，但这就是。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	false
stream	12	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是。	45.22米，或许大多数人对这个数字并没有什么感知，但这就是。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	true
stream	13	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。<KEY>[长江、湖北、荆州]	45.22米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	false
